Date,Open,High,Low,Close,Adj Close,Volume
2/8/2017,23284.75977,23520.76953,23160.99023,23485.13086,23485.13086,2601105500
2/9/2017,23533.51953,23644.63086,23489.65039,23525.14063,23525.14063,2741007400
2/10/2017,23645.90039,23718.4707,23573.84961,23574.98047,23574.98047,2143167300
2/13/2017,23664.5293,23751.91992,23615.39063,23710.98047,23710.98047,1990274600
2/14/2017,23695.28906,23735.10938,23614.4707,23703.00977,23703.00977,1957113500
2/15/2017,23771.94922,24067.61914,23771.94922,23994.86914,23994.86914,3843901700
2/16/2017,24139.31055,24161.39063,23969.57031,24107.69922,24107.69922,3806666400
2/17/2017,24077.86914,24106.33984,23944.67969,24033.74023,24033.74023,2302691000
2/20/2017,24066,24202.33984,24022.15039,24146.08008,24146.08008,1936955000
2/21/2017,24174.10938,24213.64063,23909.15039,23963.63086,23963.63086,1839886700
2/22/2017,24059.08984,24201.96094,23999.55078,24201.96094,24201.96094,2230148000
2/23/2017,24122.17969,24216.5293,24046.91016,24114.85938,24114.85938,1880958700
2/24/2017,24115.60938,24121.91016,23958.13086,23965.69922,23965.69922,1750717000
2/27/2017,23941.81055,24067.67969,23822.88086,23925.05078,23925.05078,1727456200
2/28/2017,23952.64063,24007.81055,23740.73047,23740.73047,23740.73047,1666247300
3/1/2017,23849.2207,23857.2793,23730.05078,23776.49023,23776.49023,1648831300
3/2/2017,24044.48047,24080.86914,23694.33008,23728.07031,23728.07031,2111361200
3/3/2017,23618.35938,23635.24023,23511.59961,23552.7207,23552.7207,2387983900
3/6/2017,23600.49023,23691.05078,23574.2793,23596.2793,23596.2793,1442731400
3/7/2017,23630.34961,23728,23585.76953,23681.07031,23681.07031,1282674500
3/8/2017,23627.2793,23816.23047,23563.14063,23782.26953,23782.26953,1823218000
3/9/2017,23667.76953,23673.58008,23456.06055,23501.56055,23501.56055,1781279500
3/10/2017,23534.98047,23603.76953,23438.85938,23568.66992,23568.66992,1534086200
3/13/2017,23643.30078,23877.58984,23567.92969,23829.66992,23829.66992,2016201800
3/14/2017,23871,23918.11914,23768.33984,23827.94922,23827.94922,1857167800
3/15/2017,23705.07031,23842.81055,23645.50977,23792.84961,23792.84961,1352441800
3/16/2017,24101.98047,24288.2793,24003.75,24288.2793,24288.2793,2576719000
3/17/2017,24376.13086,24385.81055,24237.9707,24309.92969,24309.92969,2512650300
3/20/2017,24312.57031,24501.99023,24312.57031,24501.99023,24501.99023,1716660600
3/21/2017,24565.73047,24656.65039,24500.34961,24593.11914,24593.11914,2055170800
3/22/2017,24336.33008,24380.41992,24207.09961,24320.41016,24320.41016,2136581500
3/23/2017,24381.03906,24466.73047,24271.25977,24327.69922,24327.69922,1795481600
3/24/2017,24396.41016,24420.76953,24263.16992,24358.26953,24358.26953,1784280200
3/27/2017,24235.68945,24434.90039,24138.7793,24193.69922,24193.69922,1730336000
3/28/2017,24329.16992,24360,24274.51953,24345.86914,24345.86914,1506216800
3/29/2017,24470.66016,24470.66016,24330.69922,24392.05078,24392.05078,1834977400
3/30/2017,24429.11914,24431.11914,24250.40039,24301.08984,24301.08984,1768917100
3/31/2017,24305.5293,24329.98047,24105.38086,24111.58984,24111.58984,1733165500
4/3/2017,24236.56055,24261.48047,24162.55078,24261.48047,24261.48047,1708951000
4/5/2017,24370.94922,24400.80078,24166.00977,24400.80078,24400.80078,2697900400
4/6/2017,24310.41016,24381.63086,24210.68945,24273.7207,24273.7207,1722179300
4/7/2017,24247.00977,24268.39063,23982.40039,24267.30078,24267.30078,2253021500
4/10/2017,24302.00977,24314.66016,24215.53906,24262.17969,24262.17969,1193963800
4/11/2017,24280.86914,24318.15039,24007.84961,24088.46094,24088.46094,1803272800
4/12/2017,24068.91016,24313.5,23994.13086,24313.5,24313.5,1534864800
4/13/2017,24173.41992,24378.38086,24158.16016,24261.66016,24261.66016,1334077800
4/18/2017,24268.16992,24276.31055,23892.58984,23924.53906,23924.53906,1552809600
4/19/2017,23875.98047,23893.14063,23723.86914,23825.88086,23825.88086,1568253100
4/20/2017,23851.01953,24058.86914,23827.07031,24056.98047,24056.98047,1559682300
4/21/2017,24143.03906,24190.14063,23991.86914,24042.01953,24042.01953,1345955400
4/24/2017,24185.75977,24206.43945,23958.17969,24139.48047,24139.48047,1338069100
4/25/2017,24204.7793,24455.93945,24201.91016,24455.93945,24455.93945,1880693800
4/26/2017,24563.25,24637.84961,24515.23047,24578.42969,24578.42969,1668740700
4/27/2017,24663.09961,24717.43945,24455.11914,24698.48047,24698.48047,1567031000
4/28/2017,24691.28906,24697.0293,24563.76953,24615.13086,24615.13086,1181584600
5/2/2017,24773.80078,24773.80078,24577.33008,24696.13086,24696.13086,1605780100
5/4/2017,24680.44922,24683.88086,24530.92969,24683.88086,24683.88086,1760179900
5/5/2017,24625.34961,24634.2793,24358.7207,24476.34961,24476.34961,2024201800
5/8/2017,24604.28906,24624.21094,24476.19922,24577.91016,24577.91016,1357855500
5/9/2017,24656.94922,24889.83008,24548.9707,24889.0293,24889.0293,1381056000
5/10/2017,24931.82031,25164.9707,24931.82031,25015.41992,25015.41992,2297649800
